id,priority,level,approx_x,approx_y,approx_z,rotation_y,suggested_assets,role,clearance_note
LMS-01,P0,Level01,2,0,5,0,"Pressure door; trim pack; caged gaslight","Pressure Gate threshold upgrade","Preserve gate center aperture and prompt space"
LMS-02,P1,Level01,-5,0,11,90,"Pipe gallery; corridor bay slice; gaslight","Tutorial side-wall pressure machinery","Wall-mounted only"
LMS-03,P1,Level01,4,0,14,-90,"Trim pack; catwalk rail; grouped dressing children","Repair Bay combat perimeter dressing","Do not block first Scrapper retreat lanes"
LMS-04,P2,Level01,1,0,21,0,"Pressure door accents; green/amber state fixtures","Service Lift frame reinforcement","Avoid lift trigger and boarding footprint"
LMS-05,P0,Level02,-3,0,8,90,"Pipe gallery; trim pack","Baffle Corridor side machinery","Keep baffle gaps and projectile lanes open"
LMS-06,P0,Level02,4,0,14,-90,"Catwalk rail; pipe gallery; caged gaslight","Lancer Bridge support read","Do not sit directly behind Lancer tell"
LMS-07,P1,Level02,0,0,22,180,"Pipe gallery; pressure frame accents; route green tab","Routing Valve objective wall","Avoid valve prompt radius"
LMS-08,P2,Level02,2,0,29,0,"Trim pack; gaslight; grouped dressing children","Locked Lift Lobby return-state dressing","Preserve lift and cartridge cache access"
LMS-09,P0,Level03,0,0,9,0,"Furnace alcove; trim pack; warning red strip","Boilerheart approach landmark","Keep steam hazard VFX unobscured"
LMS-10,P0,Level03,-5,0,16,90,"Vault door; pipe gallery; caged gaslight","Scattergun Display backdrop","Do not hide pickup silhouette or acquisition effects"
LMS-11,P0,Level03,0,0,24,0,"Furnace side pieces; pulse ring; trim pack","Bellows Node perimeter hazard frame","Keep central dodge footprint clear"
LMS-12,P1,Level03,6,0,31,-90,"Catwalk rail; pipe gallery; green state tab","Pressure Valve Catwalk release machinery","Avoid valve prompt radius"
LMS-13,P0,Level04,-4,0,8,90,"Furnace alcove; warning strip; trim pack","Furnace Row hazard identity","Do not place inside heat lanes"
LMS-14,P0,Level04,4,0,18,-90,"Vault door; furnace piers; caged gaslights","Bulwark Hammer Bay stage mass","Keep arena circle and heavy enemy movement clear"
LMS-15,P1,Level04,-6,0,23,90,"Pipe gallery; trim pack; short catwalk rail","Coal Cache reward frame","Do not pull main route through heat"
LMS-16,P1,Level04,1,0,32,0,"Pressure door frame; route green glass; gaslight","Emergency Hoist frame","Side/lintel only around boarding zone"
LMS-17,P0,Level05,0,0,7,0,"Vault door; pipe gallery; trim pack","Pressure Chapel entry landmark","Keep entry width and Warden sightline"
LMS-18,P0,Level05,-7,0,15,90,"Pipe gallery; gaslight; heat-blue accents","West Regulator Arm identity panel","Preserve side-arm loop width"
LMS-19,P0,Level05,7,0,15,-90,"Pipe gallery; gaslight; warning/green state tabs","East Regulator Arm identity panel","Avoid route color confusion"
LMS-20,P0,Level05,0,0,22,180,"Warden feed sampler; vault/pipe high-wall pieces","Warden Arena high-wall feeds","Keep boss center and projectile lanes clear"
LMS-21,P1,Level05,0,0,34,0,"Pressure door frame; route green tab; caged gaslights","Master Override Hoist final state stack","Maintain at least 4.5m Warden-to-exit path"
