placement_id,priority,level,zone,approx_bounds,upgrade_family,source_package,visible_placement,recommended_mount,safe_zone_rule,no_go_rule,acceptance_gate
LDP-01,P0,Level01,Pressure Gate,"x -4..8, z 3..7 edge only","weapon_prop,gauge,fastener,route_state","WeaponPropBatch WPB_003/WPB_005; ThresholdRouteDressingBatch","Gauge-and-fastener crown around existing pressure gate state read","jambs,lintel,side wall","Mount outside center aperture; keep red locked and green restored cues readable","No roots in pressure gate aperture, gate prompt, or walk-through path","Gate remains readable from overlook; open route remains clear"
LDP-02,P1,Level01,Repair Bay first Scrapper read,"x -18..6, z -18..-6 perimeter","enemy_readability,scrapper,combat_edge","EnemyReadabilityBatch Scrapper notes","Perimeter tell frame using cutter/hammer contrast language near first combat read","side wall,bench backs,rear perimeter","Keep retreat lanes around benches visible and avoid same-value backing behind enemy","No new blocker in first Scrapper approach or spawn fallback lane","Player can identify compact melee role before first damage"
LDP-03,P2,Level01,Gear-Key Workshop,"x 8..24, z -8..6 edge only","weapon_prop,ammo,local_props","WeaponPropBatch WPB_006/WPB_005","Ammo/tool shelf and fastener repair cluster near workshop side wall","side bench,wall shelf,back wall","Keep key plinth and pickup VFX in open view","No roots in key pickup prompt radius or key return path","Gear key remains visible from approach"
LDP-04,P0,Level02,Lancer Pipe Bridge,"bridge x 8..30, z 2..18; Lancer near x 18, z 9","enemy_readability,lancer,ranged_tell","EnemyReadabilityBatch Lancer notes","Blue bolt-ring and long-lance silhouette support behind or beside existing Lancer read","backplate,side supports,high wall","Keep projectile corridor and cover reads clear","No blue tell material on non-Lancer props in the same view; no roots in projectile lane","First Lancer reads as ranged from Condensate Spine"
LDP-05,P1,Level02,Routing Valve Gallery,"x -30..-8, z 4..18","weapon_prop,gauge,fastener,objective_machine","WeaponPropBatch WPB_003/WPB_005","Gauge bank and repair plate refresh around existing routing valve machinery","side wall,back wall,pipe support","Use visual-only gauges; keep valve prompt chest-high and unobstructed","No extra interactable-looking buttons; no roots in valve prompt radius","Valve-to-lift pressure routing reads before and after interaction"
LDP-06,P2,Level02,Locked Lift Lobby,"x -12..16, z 16..26 edge; lift x -4..8, z 26..34 edge","weapon_prop,ammo,route_state","WeaponPropBatch WPB_006; ThresholdRouteDressingBatch","Ammo/pressure return shelf and green return markers in lobby edge","wall shelf,lintel,side frame","Keep lift boarding space and locked-lift rejection view clear","No roots in lift trigger or boarding center","Lift state is identifiable from lobby after valve completion"
LDP-07,P0,Level03,Scattergun Display,"x 12..34, z 0..16 around existing pickup stand","weapon_prop,scattergun,pickup_readability","WeaponPropBatch WPB_007/WPB_006/WPB_005","Scattergun display-piece detail pass with shell row, collars, slug canister, and nameplate support","display back wall,plinth edge,side yoke","Keep weapon silhouette, route strips, chevrons, lamps, acquisition VFX/audio visible","No roots in pickup automation path or pickup prompt radius","World pickup and acquisition burst remain clear from approach"
LDP-08,P0,Level03,Bellows Node Chamber,"x -34..-12, z 2..18 perimeter","enemy_readability,support_machine,hazard_tell","EnemyReadabilityBatch material/tell rules; existing Bellows Node behavior","Pulse-read perimeter with warning ring, piston-lung edge props, and support-machine priority framing","floor strip non-colliding,perimeter wall,high wall","Preserve about 16m x 16m dodge footprint and pulse circle visibility","No roots in chamber center, pulse VFX center, or enemy approach lanes","Bellows priority and pulse danger read from entry"
LDP-09,P1,Level03,Pressure Valve Catwalk,"catwalk x -20..20, z 16..28; lift x -8..10, z 28..36 edge","weapon_prop,gauge,vent,route_state","WeaponPropBatch WPB_003/WPB_005; ThresholdRouteDressingBatch","Gauge-and-vent stack with amber-to-green state plates at valve/lift sequence","side rails,back wall,lift lintel","Keep valve prompt and foundry lift route readable","No roots in valve prompt radius, lift trigger, or catwalk center lane","Vented state visibly differs from active state"
LDP-10,P2,Level03,Steam-Baffle Approach,"x -12..12, z -24..-10 edge only","hazard_tell,safe_lane","ThresholdRouteDressingBatch; v0.1.33 density rules","Warning collars and flush safe-lane strips outside steam damage volumes","side frames,flush floor strips","Mark actual safe lanes only; do not mask steam puffs","No roots inside steam hazard volumes; no raised floor collision","Steam warning is visible before damage"
